epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,519.131,0.59599,0.44755,1.03993,0.92934,0.88912,0.95833,0.79575,0.70151,0.56336,1.18498,0.00020909,0.00020909,0.00020909
125,523.228,0.57985,0.45906,1.0273,0.82818,0.88234,0.945,0.79582,0.69168,0.58774,1.17781,0.000201758,0.000201758,0.000201758
126,527.42,0.60418,0.46886,1.04253,0.865,0.90256,0.93389,0.77823,0.67555,0.55819,1.16026,0.000194425,0.000194425,0.000194425
127,531.767,0.54812,0.41854,1.02248,0.93465,0.92557,0.95833,0.81994,0.69626,0.50874,1.17264,0.000187092,0.000187092,0.000187092
128,536.078,0.58869,0.46962,1.07859,0.92327,0.8635,0.9469,0.80197,0.68856,0.50334,1.17593,0.00017976,0.00017976,0.00017976
129,540.171,0.60601,0.45388,1.05514,0.91141,0.86684,0.94056,0.80019,0.68027,0.52386,1.16747,0.000172427,0.000172427,0.000172427
130,544.327,0.58027,0.47509,1.04177,0.91956,0.87064,0.94333,0.80107,0.69807,0.52806,1.17059,0.000165095,0.000165095,0.000165095
131,548.405,0.5517,0.42888,1.01783,0.92469,0.86922,0.96024,0.82654,0.6854,0.52853,1.15092,0.000157762,0.000157762,0.000157762
132,552.534,0.58144,0.43704,1.03395,0.94184,0.89931,0.9769,0.80008,0.70103,0.55494,1.17906,0.000150429,0.000150429,0.000150429
133,556.743,0.55369,0.41473,1.00896,0.92992,0.91548,0.97722,0.79949,0.77045,0.56711,1.22861,0.000143097,0.000143097,0.000143097
134,560.944,0.55884,0.43048,1.01028,0.84843,0.94822,0.95833,0.80345,0.69716,0.56774,1.19043,0.000135764,0.000135764,0.000135764
135,565.341,0.5543,0.42323,1.01245,0.84028,0.94308,0.95833,0.79521,0.69178,0.5741,1.18275,0.000128432,0.000128432,0.000128432
136,569.523,0.54938,0.44234,1.01558,0.94715,0.83095,0.95667,0.80856,0.69039,0.58431,1.17844,0.000121099,0.000121099,0.000121099
137,573.661,0.55029,0.43916,1.04542,0.93968,0.82909,0.95667,0.80494,0.68861,0.60843,1.18202,0.000113766,0.000113766,0.000113766
138,577.692,0.52671,0.40936,1.00057,0.94442,0.83083,0.95667,0.81536,0.68807,0.59383,1.18568,0.000106434,0.000106434,0.000106434
139,581.762,0.52207,0.41211,0.99831,0.85748,0.94009,0.96056,0.81144,0.7083,0.60039,1.18914,9.91012e-05,9.91012e-05,9.91012e-05
140,585.857,0.55482,0.43089,1.03627,0.85228,0.94759,0.96056,0.80385,0.69605,0.58243,1.17434,9.17686e-05,9.17686e-05,9.17686e-05
141,590.11,0.45413,0.34797,0.98502,0.90013,0.88367,0.95389,0.80088,0.69233,0.57794,1.16145,8.4436e-05,8.4436e-05,8.4436e-05
142,594.175,0.42586,0.32778,0.96906,0.92821,0.86357,0.94722,0.78708,0.69529,0.61053,1.16597,7.71034e-05,7.71034e-05,7.71034e-05
143,598.243,0.41694,0.33521,0.96885,0.94398,0.84655,0.94722,0.78867,0.69778,0.61273,1.17734,6.97708e-05,6.97708e-05,6.97708e-05
144,602.306,0.40495,0.30976,0.93535,0.94731,0.83986,0.94722,0.79113,0.70818,0.59242,1.19379,6.24382e-05,6.24382e-05,6.24382e-05
145,606.274,0.43211,0.32546,0.98591,0.83593,0.93722,0.94722,0.78812,0.68694,0.56713,1.17481,5.51056e-05,5.51056e-05,5.51056e-05
146,610.238,0.4108,0.31235,0.95666,0.84911,0.95076,0.94722,0.79874,0.67056,0.56538,1.16248,4.7773e-05,4.7773e-05,4.7773e-05
147,614.115,0.40199,0.30679,0.95093,0.8569,0.9417,0.95167,0.80787,0.66809,0.5513,1.16403,4.04404e-05,4.04404e-05,4.04404e-05
148,618.037,0.41374,0.31697,0.97057,0.85611,0.94849,0.95389,0.80086,0.67662,0.5383,1.17308,3.31078e-05,3.31078e-05,3.31078e-05
149,622.093,0.37452,0.29891,0.94143,0.86508,0.94219,0.95389,0.80086,0.68638,0.53198,1.18295,2.57752e-05,2.57752e-05,2.57752e-05
150,626.072,0.39344,0.2935,0.95824,0.87193,0.93668,0.95389,0.80519,0.69826,0.53265,1.19564,1.84426e-05,1.84426e-05,1.84426e-05
